Point,Corner,C1,L1,C2,L2,Pass/Fail,fc,PhaseMargin,GainMargin
161.0,nom,1e-06,3.2e-05,8.888999999999999e-06,0.0001022,,4.022e3,55.44,18.85
162.0,nom,1e-06,3.2e-05,8.888999999999999e-06,0.00010669999999999999,,4.03e3,55.04,18.77
163.0,nom,1e-06,3.2e-05,8.888999999999999e-06,0.0001111,,4.04e3,54.55,18.59
164.0,nom,1e-06,3.2e-05,8.888999999999999e-06,0.00011559999999999999,,4.055e3,54.35,18.9
165.0,nom,1e-06,3.2e-05,8.888999999999999e-06,0.00011999999999999999,,4.061e3,53.73,18.98
166.0,nom,1e-06,3.2e-05,9.333e-06,0.0001,,3.94e3,55.93,19.63
167.0,nom,1e-06,3.2e-05,9.333e-06,8e-05,,3.866e3,56.43,24.11
168.0,nom,1e-06,3.2e-05,9.333e-06,8.444e-05,,3.878e3,56.1,24.05
169.0,nom,1e-06,3.2e-05,9.333e-06,8.889e-05,,3.89e3,55.85,22.06
170.0,nom,1e-06,3.2e-05,9.333e-06,9.333e-05,,3.899e3,55.47,20.62
171.0,nom,1e-06,3.2e-05,9.333e-06,9.778e-05,,3.905e3,54.98,19.64
172.0,nom,1e-06,3.2e-05,9.333e-06,0.0001022,,3.918e3,54.68,19.14
173.0,nom,1e-06,3.2e-05,9.333e-06,0.00010669999999999999,,3.93e3,54.43,19.04
174.0,nom,1e-06,3.2e-05,9.333e-06,0.0001111,,3.941e3,54.09,19.12
175.0,nom,1e-06,3.2e-05,9.333e-06,0.00011559999999999999,,3.954e3,53.81,19.38
176.0,nom,1e-06,3.2e-05,9.333e-06,0.00011999999999999999,,3.957e3,53.15,19.4
177.0,nom,1e-06,3.2e-05,9.778e-06,0.0001,,3.835e3,54.87,19.81
178.0,nom,1e-06,3.2e-05,9.778e-06,8e-05,,3.769e3,55.69,25.23
179.0,nom,1e-06,3.2e-05,9.778e-06,8.444e-05,,3.782e3,55.42,23.98
180.0,nom,1e-06,3.2e-05,9.778e-06,8.889e-05,,3.792e3,55.16,22.24
181.0,nom,1e-06,3.2e-05,9.778e-06,9.333e-05,,3.805e3,54.87,20.68
182.0,nom,1e-06,3.2e-05,9.778e-06,9.778e-05,,3.812e3,54.47,19.92
183.0,nom,1e-06,3.2e-05,9.778e-06,0.0001022,,3.822e3,54.14,19.52
184.0,nom,1e-06,3.2e-05,9.778e-06,0.00010669999999999999,,3.828e3,53.67,19.3
185.0,nom,1e-06,3.2e-05,9.778e-06,0.0001111,,3.842e3,53.46,19.48
186.0,nom,1e-06,3.2e-05,9.778e-06,0.00011559999999999999,,3.853e3,53.15,19.73
187.0,nom,1e-06,3.2e-05,9.778e-06,0.00011999999999999999,,3.857e3,52.55,19.78
188.0,nom,1e-06,3.2e-05,1.022e-05,0.0001,,3.75e3,54.48,20.26
189.0,nom,1e-06,3.2e-05,1.022e-05,8e-05,,3.682e3,55.08,25.16
190.0,nom,1e-06,3.2e-05,1.022e-05,8.444e-05,,3.692e3,54.78,24.19
191.0,nom,1e-06,3.2e-05,1.022e-05,8.889e-05,,3.702e3,54.54,22.23
192.0,nom,1e-06,3.2e-05,1.022e-05,9.333e-05,,3.707e3,54.09,21.07
193.0,nom,1e-06,3.2e-05,1.022e-05,9.778e-05,,3.715e3,53.76,20.35
194.0,nom,1e-06,3.2e-05,1.022e-05,0.0001022,,3.73e3,53.49,19.82
195.0,nom,1e-06,3.2e-05,1.022e-05,0.00010669999999999999,,3.738e3,53.18,19.75
196.0,nom,1e-06,3.2e-05,1.022e-05,0.0001111,,3.746e3,52.77,19.77
197.0,nom,1e-06,3.2e-05,1.022e-05,0.00011559999999999999,,3.759e3,52.54,20.11
198.0,nom,1e-06,3.2e-05,1.022e-05,0.00011999999999999999,,3.767e3,52.16,20.36
199.0,nom,1e-06,3.2e-05,1.067e-05,0.0001,,3.66e3,53.82,20.59
200.0,nom,1e-06,3.2e-05,1.067e-05,8e-05,,3.594e3,54.42,25.29
201.0,nom,1e-06,3.2e-05,1.067e-05,8.444e-05,,3.603e3,54.12,24.37
202.0,nom,1e-06,3.2e-05,1.067e-05,8.889e-05,,3.614e3,53.87,22.48
203.0,nom,1e-06,3.2e-05,1.067e-05,9.333e-05,,3.619e3,53.46,21.28
204.0,nom,1e-06,3.2e-05,1.067e-05,9.778e-05,,3.631e3,53.19,20.48
205.0,nom,1e-06,3.2e-05,1.067e-05,0.0001022,,3.638e3,52.9,20.22
206.0,nom,1e-06,3.2e-05,1.067e-05,0.00010669999999999999,,3.648e3,52.58,20.09
207.0,nom,1e-06,3.2e-05,1.067e-05,0.0001111,,3.656e3,52.2,20.16
208.0,nom,1e-06,3.2e-05,1.067e-05,0.00011559999999999999,,3.668e3,51.97,20.48
209.0,nom,1e-06,3.2e-05,1.067e-05,0.00011999999999999999,,3.676e3,51.61,20.75
210.0,nom,1e-06,3.2e-05,1.111e-05,0.0001,,3.575e3,53.2,20.93
211.0,nom,1e-06,3.2e-05,1.111e-05,8e-05,,3.506e3,53.72,26.59
212.0,nom,1e-06,3.2e-05,1.111e-05,8.444e-05,,3.52e3,53.52,24.37
213.0,nom,1e-06,3.2e-05,1.111e-05,8.889e-05,,3.53e3,53.26,22.6
214.0,nom,1e-06,3.2e-05,1.111e-05,9.333e-05,,3.534e3,52.86,21.5
215.0,nom,1e-06,3.2e-05,1.111e-05,9.778e-05,,3.543e3,52.56,20.75
216.0,nom,1e-06,3.2e-05,1.111e-05,0.0001022,,3.551e3,52.25,20.41
217.0,nom,1e-06,3.2e-05,1.111e-05,0.00010669999999999999,,3.558e3,51.87,20.31
218.0,nom,1e-06,3.2e-05,1.111e-05,0.0001111,,3.573e3,51.78,20.69
219.0,nom,1e-06,3.2e-05,1.111e-05,0.00011559999999999999,,3.579e3,51.37,20.78
220.0,nom,1e-06,3.2e-05,1.111e-05,0.00011999999999999999,,3.588e3,51.03,21.09
221.0,nom,1e-06,3.2e-05,1.156e-05,0.0001,,3.48e3,52.25,21.05
222.0,nom,1e-06,3.2e-05,1.156e-05,8e-05,,3.432e3,53.2,25.18
223.0,nom,1e-06,3.2e-05,1.156e-05,8.444e-05,,3.438e3,52.89,24.63
224.0,nom,1e-06,3.2e-05,1.156e-05,8.889e-05,,3.446e3,52.6,22.94
225.0,nom,1e-06,3.2e-05,1.156e-05,9.333e-05,,3.452e3,52.25,21.72
226.0,nom,1e-06,3.2e-05,1.156e-05,9.778e-05,,3.461e3,51.96,21.02
227.0,nom,1e-06,3.2e-05,1.156e-05,0.0001022,,3.469e3,51.67,20.72
228.0,nom,1e-06,3.2e-05,1.156e-05,0.00010669999999999999,,3.473e3,51.31,21.3
229.0,nom,1e-06,3.2e-05,1.156e-05,0.0001111,,3.483e3,51,20.75
230.0,nom,1e-06,3.2e-05,1.156e-05,0.00011559999999999999,,3.492e3,50.68,21.01
231.0,nom,1e-06,3.2e-05,1.156e-05,0.00011999999999999999,,3.506e3,50.55,21.51
232.0,nom,1e-06,3.2e-05,1.2e-05,0.0001,,3.386e3,51.28,21.13
233.0,nom,1e-06,3.2e-05,1.2e-05,8e-05,,3.351e3,52.56,26.26
234.0,nom,1e-06,3.2e-05,1.2e-05,8.444e-05,,3.359e3,52.28,24.9
235.0,nom,1e-06,3.2e-05,1.2e-05,8.889e-05,,3.367e3,52,23.1
236.0,nom,1e-06,3.2e-05,1.2e-05,9.333e-05,,3.376e3,51.75,21.91
237.0,nom,1e-06,3.2e-05,1.2e-05,9.778e-05,,3.381e3,51.38,21.27
238.0,nom,1e-06,3.2e-05,1.2e-05,0.0001022,,3.391e3,51.16,21.06
239.0,nom,1e-06,3.2e-05,1.2e-05,0.00010669999999999999,,3.395e3,50.72,20.95
240.0,nom,1e-06,3.2e-05,1.2e-05,0.0001111,,3.407e3,50.55,21.22
241.0,nom,1e-06,3.2e-05,1.2e-05,0.00011559999999999999,,3.415e3,50.28,21.5
242.0,nom,1e-06,3.2e-05,1.2e-05,0.00011999999999999999,,3.421e3,49.93,21.77
243.0,nom,1e-06,3.378e-05,1e-05,0.0001,,3.762e3,53.35,18.19
244.0,nom,1e-06,3.378e-05,1e-05,8e-05,,3.739e3,55.28,20.8
245.0,nom,1e-06,3.378e-05,1e-05,8.444e-05,,3.727e3,54.47,23.59
246.0,nom,1e-06,3.378e-05,1e-05,8.889e-05,,3.738e3,54.17,20.95
247.0,nom,1e-06,3.378e-05,1e-05,9.333e-05,,3.751e3,53.96,19.3
248.0,nom,1e-06,3.378e-05,1e-05,9.778e-05,,3.758e3,53.51,18.47
249.0,nom,1e-06,3.378e-05,1e-05,0.0001022,,3.769e3,53.28,18.13
250.0,nom,1e-06,3.378e-05,1e-05,0.00010669999999999999,,3.776e3,52.88,18.08
251.0,nom,1e-06,3.378e-05,1e-05,0.0001111,,3.787e3,52.55,18.14
252.0,nom,1e-06,3.378e-05,1e-05,0.00011559999999999999,,3.801e3,52.37,18.55
253.0,nom,1e-06,3.378e-05,1e-05,0.00011999999999999999,,3.804e3,51.8,18.61
254.0,nom,1e-06,3.378e-05,8e-06,0.0001,,4.257e3,56.27,16.84
255.0,nom,1e-06,3.378e-05,8e-06,8e-05,,4.202e3,58.56,18.38
256.0,nom,1e-06,3.378e-05,8e-06,8.444e-05,,4.192e3,57.53,22.69
257.0,nom,1e-06,3.378e-05,8e-06,8.889e-05,,4.208e3,57.12,20.64
258.0,nom,1e-06,3.378e-05,8e-06,9.333e-05,,4.228e3,56.8,18.46
259.0,nom,1e-06,3.378e-05,8e-06,9.778e-05,,4.244e3,56.38,17.21
260.0,nom,1e-06,3.378e-05,8e-06,0.0001022,,4.261e3,55.94,16.52
261.0,nom,1e-06,3.378e-05,8e-06,0.00010669999999999999,,4.283e3,55.65,16.34
262.0,nom,1e-06,3.378e-05,8e-06,0.0001111,,4.294e3,54.97,16.13
263.0,nom,1e-06,3.378e-05,8e-06,0.00011559999999999999,,4.325e3,54.96,16.62
264.0,nom,1e-06,3.378e-05,8e-06,0.00011999999999999999,,4.337e3,54.31,16.67
265.0,nom,1e-06,3.378e-05,8.443999999999999e-06,0.0001,,4.118e3,55.74,17.19
266.0,nom,1e-06,3.378e-05,8.443999999999999e-06,8e-05,,4.082e3,57.78,19.09
267.0,nom,1e-06,3.378e-05,8.443999999999999e-06,8.444e-05,,4.074e3,56.82,22.97
268.0,nom,1e-06,3.378e-05,8.443999999999999e-06,8.889e-05,,4.089e3,56.61,20.32
269.0,nom,1e-06,3.378e-05,8.443999999999999e-06,9.333e-05,,4.1e3,56.27,18.56
270.0,nom,1e-06,3.378e-05,8.443999999999999e-06,9.778e-05,,4.11e3,55.83,17.48
271.0,nom,1e-06,3.378e-05,8.443999999999999e-06,0.0001022,,4.121e3,55.46,16.93
272.0,nom,1e-06,3.378e-05,8.443999999999999e-06,0.00010669999999999999,,4.132e3,55.03,16.71
273.0,nom,1e-06,3.378e-05,8.443999999999999e-06,0.0001111,,4.144e3,54.73,16.81
274.0,nom,1e-06,3.378e-05,8.443999999999999e-06,0.00011559999999999999,,4.154e3,54.32,17.06
275.0,nom,1e-06,3.378e-05,8.443999999999999e-06,0.00011999999999999999,,4.164e3,53.81,17.01
276.0,nom,1e-06,3.378e-05,8.888999999999999e-06,0.0001,,4.004e3,54.78,17.34
277.0,nom,1e-06,3.378e-05,8.888999999999999e-06,8e-05,,3.978e3,57.03,19.67
278.0,nom,1e-06,3.378e-05,8.888999999999999e-06,8.444e-05,,3.969e3,56.16,23.01
279.0,nom,1e-06,3.378e-05,8.888999999999999e-06,8.889e-05,,3.985e3,55.95,20.28
280.0,nom,1e-06,3.378e-05,8.888999999999999e-06,9.333e-05,,3.992e3,55.48,18.8
281.0,nom,1e-06,3.378e-05,8.888999999999999e-06,9.778e-05,,4.002e3,55.09,17.72
282.0,nom,1e-06,3.378e-05,8.888999999999999e-06,0.0001022,,4.012e3,54.74,17.21
283.0,nom,1e-06,3.378e-05,8.888999999999999e-06,0.00010669999999999999,,4.025e3,54.44,17.11
284.0,nom,1e-06,3.378e-05,8.888999999999999e-06,0.0001111,,4.039e3,54.21,17.3
285.0,nom,1e-06,3.378e-05,8.888999999999999e-06,0.00011559999999999999,,4.045e3,53.63,17.32
286.0,nom,1e-06,3.378e-05,8.888999999999999e-06,0.00011999999999999999,,4.06e3,53.41,17.78
287.0,nom,1e-06,3.378e-05,9.333e-06,0.0001,,3.905e3,54.26,17.72
288.0,nom,1e-06,3.378e-05,9.333e-06,8e-05,,3.88e3,56.32,20.05
289.0,nom,1e-06,3.378e-05,9.333e-06,8.444e-05,,3.87e3,55.47,23.17
